,Post_Content,Date,Comments_Shares,All_Responses,Brand
864,"Who’s baking today? Why not try our cappuccino loaf cake topped with mascarpone frosting and a fine dusting of cocoa powder.
Get the recipe: http://bit.ly/1Qh3oUe","February 21, 2016",10 Comments18 Shares,96,waitroseandpartners
866,This simple almond drink is easy to make and is a great dairy-free alternative to milk. Pour over cereal or use it in smoothies. Get the recipe: http://bit.ly/211hgXM,"February 20, 2016",109 Comments380 Shares74K Views,971,waitroseandpartners
868,Which toppings would you include on the ultimate pizza?,"February 19, 2016",11 Comments2 Shares,23,waitroseandpartners
870,"A rich, velvety and vibrant dish, our roasted beetroot, ginger and coconut soup is a deliciously healthy option for colder days: http://bit.ly/1SPOQLZ","February 18, 2016",8 Comments7 Shares,39,waitroseandpartners
872,"What better way to impress your Valentine than with these heavenly heart-shaped churros with warm chocolate dip!
Read Martha Collison’s recipe here: http://bit.ly/1PPCe4J","February 14, 2016",6 Comments9 Shares,91,waitroseandpartners
874,"What’s for lunch today? How about our mushroom, cavolo nero and blue cheese toastie? Warming and comforting, it’s the perfect lunchtime treat.
Read the recipe here: http://bit.ly/20qVK9b","February 13, 2016",6 Comments4 Shares,41,waitroseandpartners
876,"Discover our most indulgent recipes of all time, from oozing chocolate fondant to Lobster Thermidor. Which one's your favourite?","February 12, 2016",15 Comments8 Shares,58,waitroseandpartners
878,"American-style pancakes filled with oozing hazelnut chocolate - what's not to love?
Get the recipe: http://bit.ly/1Ph9u38","February 9, 2016",334 Comments737 Shares80K Views,1.9K,waitroseandpartners
880,"Ready in just 20 minutes, our creamy ricotta and kale tagliatelle is ideal for dinner tonight: http://bit.ly/1marNMZ","February 7, 2016",3 Comments19 Shares2.2K Views,62,waitroseandpartners
882,"Celebrate Chinese New Year with one of our delicious meal deals, either our £8 oriental meal deal or our £6 stir-fry meal deal.
Find them both here: http://bit.ly/1TFMnCq","February 6, 2016",1 Share,28,waitroseandpartners
884,"Who fancies our indulgent chocolate fondant with a molten centre? Serve with whipped cream and fresh raspberries for a delicious treat.
Discover the recipe: http://bit.ly/1S5i8p4","February 5, 2016",17 Comments15 Shares,111,waitroseandpartners
886,"Win our stunning premium Valentine’s bouquet worth £200, from Waitrose Florist.
Would you send yours to a loved one, or simply treat yourself? Tell us below for the chance to win.
Terms: http://bit.ly/1md8EtS","February 4, 2016","8.6K Comments1,509 Shares",8.9K,waitroseandpartners
888,"From fluffy pancakes, to sweet and sour confit duck, you’re sure to love these rhubarb recipes. Which one will you try?","February 2, 2016",1 Comment3 Shares,35,waitroseandpartners
890,"Who fancies one of these tasty orange and carrot steamed puds topped with homemade Seville orange marmalade?
Find the recipe here: http://bit.ly/23gUjyj","January 31, 2016",7 Comments6 Shares,58,waitroseandpartners
892,"Kick-start your day with our papaya breakfast bowls topped with natural yogurt, fresh berries and a drizzle of honey.","January 30, 2016",4 Comments39 Shares2.6K Views,89,waitroseandpartners
894,"Add a flavoursome kick to your usual sweet potato with our delicious topping ideas, which one will you try?","January 29, 2016",6 Comments26 Shares2.9K Views,76,waitroseandpartners
896,"Let’s celebrate the wonderful variety of fresh and colourful fruit and vegetables that make our everyday meals a little bit healthier.
Pop in store, pick up 5 fruit and veg and save 25%. Offer ends 3 February: http://bit.ly/1lzbfhr
(Excludes loose items)","January 28, 2016",1 Comment15 Shares1.9K Views,46,waitroseandpartners
898,"Steve and Dave from The Happy Pear share their indulgent salted caramel tart recipe that’s also gluten-free!
Read the full recipe here: http://bit.ly/1Vo1eji","January 27, 2016","338 Comments1,147 Shares547K Views",1.7K,waitroseandpartners
900,"This competition is now closed, thank you to everyone who entered! We'll be announcing the winners on Wednesday. Terms: http://bit.ly/1WA7VzZ","January 25, 2016","6.9K Comments1,317 Shares",9.3K,waitroseandpartners
902,"Watch our simple recipe for oaty cookies with ginger and zesty orange – a delicious Sunday afternoon treat.
Recipe: http://bit.ly/1niNhsn","January 24, 2016",4 Comments37 Shares2.8K Views,87,waitroseandpartners
904,"Watch The Happy Pear’s gluten-free bean burgers using butternut squash, black beans and roasted garlic.
Read the recipe: http://bit.ly/1SBqSDq","January 23, 2016",16 Comments53 Shares3.1K Views,119,waitroseandpartners
906,"At Waitrose, we know there are some items you love to pick again, again and again- so we’re giving you the choice to pick your own offers http://bit.ly/1Zy8ZV1","January 20, 2016",47 Comments85 Shares527K Views,784,waitroseandpartners
908,"This competition is now closed, thank you to everyone who entered! We'll be announcing the winners on Wednesday. Terms: http://bit.ly/1nnA9lM","January 18, 2016","8.1K Comments1,202 Shares",9K,waitroseandpartners
910,"Why not bake a big batch of homemade granola for breakfast – it’ll keep for up to a month in an airtight container.
Recipe: http://bit.ly/1SDQazI","January 16, 2016",5 Comments11 Shares,44,waitroseandpartners
912,"Pop in store today and enjoy 25% off all fish from the fish counter with a myWaitrose card– perfect for our delicious pesto-crumbed cod recipe.
Read the full recipe here: http://bit.ly/1RnBwgy","January 15, 2016",206 Comments488 Shares580K Views,2.1K,waitroseandpartners
914,Brighten up winter mornings with our favourite smoothie recipes: http://bit.ly/22PDTN2,"January 14, 2016",1 Comment24 Shares1.8K Views,78,waitroseandpartners
916,"Treat yourself to our dairy-free almond and date hot chocolate – it’s simple to make and low fat!
Read the recipe here: http://bit.ly/1OdqQgU","January 13, 2016",3 Comments33 Shares2.5K Views,55,waitroseandpartners
918,"Kick-start your day with our dairy-free smoothie recipe with creamy avocado and zesty lime: http://bit.ly/1OfdWgc
What’s your favourite smoothie recipe?","January 11, 2016","1.1K Comments4,535 Shares1.1M Views",6.9K,waitroseandpartners
920,"Watch Donal Skehan’s simple gluten-free pancake recipe. Serve with your favourite fruit, yogurt and a drizzle of honey.
Read the recipe: http://bit.ly/1S8vn81","January 10, 2016","338 Comments1,352 Shares519K Views",1.7K,waitroseandpartners
922,"Selected meat is now half price, perfect for our sesame, chilli and lemongrass chicken stir-fry recipe: http://bit.ly/1PaGqaT","January 9, 2016",3 Comments2 Shares,35,waitroseandpartners
924,"Pop in store today and enjoy 25% off all fish from the fish counter with a myWaitrose card – perfect for our delicious Teriyaki salmon recipe: http://bit.ly/1OfM63s
What’s your favourite recipe using fish?","January 8, 2016",6 Comments38 Shares2.5K Views,103,waitroseandpartners
926,"Dairy-free and guilt-free, our frozen banana ice cream is the perfect evening treat. Sprinkle with chopped nuts before serving.
Recipe: http://bit.ly/1JSMV0i","January 7, 2016",11 Comments32 Shares3.8K Views,86,waitroseandpartners
928,"For a vibrant and flavoursome salad, try our recipe for herbed tabbouleh served with a tahini and yogurt dressing.
Read the recipe: http://bit.ly/1OuxKzH","January 6, 2016",3 Comments11 Shares1.8K Views,35,waitroseandpartners
930,"From household cleaning must-haves to store cupboard staples, shop our Big Half Price Event in store or online: http://bit.ly/1RlOQk8","January 5, 2016",1 Comment4 Shares,58,waitroseandpartners
932,"Healthy eating is about making small changes. It’s as simple as swapping your usual morning coffee for a tasty green tea.
Find our healthy tips and recipes here: http://bit.ly/1PHsmu6","January 4, 2016",1 Comment11 Shares,52,waitroseandpartners
936,"Mix together pineapple, kiwi, green veg & a handful of mint for a revitalising smoothie: http://bit.ly/1PkaHIw","January 3, 2016",5 Comments12 Shares,58,waitroseandpartners
938,Happy New Year from all of us at Waitrose!,"January 1, 2016","345 Comments2,473 Shares1.4M Views",25K,waitroseandpartners
940,"We’re off to get ready for tonight’s celebrations. Our Facebook wall is now closed but we’ll be back at 8am on Saturday to hear how you welcomed in 2016.
Happy New Year from all of us at Waitrose!","December 31, 2015",11 Comments,81,waitroseandpartners
942,"Chocolate pecan brownie bowls filled with a scoop of vanilla ice cream. Drizzle with gooey caramel sauce and sprinkle with hundreds and thousands - the ultimate after-dinner dessert!
Read the recipe: http://bit.ly/1UyENZ7","December 30, 2015",10 Comments47 Shares3.5K Views,141,waitroseandpartners
944,"Watch Madeleine Shaw’s delicious Thai turkey soup recipe using shredded turkey, courgetti and spiralised sweet potato.
Read the recipe: http://bit.ly/1MtrWk8","December 29, 2015",4 Comments17 Shares2.4K Views,41,waitroseandpartners
946,"Brie toasties with a cool dollop of leftover cranberry sauce.
What delicious food are you enjoying today?
#MakesChristmas","December 28, 2015",4 Comments7 Shares1.9K Views,55,waitroseandpartners
948,"Christmas brings so many special moments and traditions.
Share the best photos from your Christmas in the comments below and you could win a special treat from us!
Terms: http://bit.ly/1XiPOCS","December 27, 2015",717 Comments180 Shares,5.7K,waitroseandpartners
950,"Leftover turkey, savoury stuffing and a dollop of cranberry sauce, all sandwiched between thick bread slices.
#MakesChristmas","December 27, 2015",68 Comments67 Shares868K Views,917,waitroseandpartners
952,"What do you enjoy the most about your Christmas roast dinner? For us it’s lashings of homemade gravy!
Comment below with a wonderful moment that #MakesChristmas for you for a chance to win a gift from us!
Terms: http://bit.ly/1XiPOCS","December 25, 2015",231 Comments23 Shares3.2K Views,269,waitroseandpartners
954,"Merry Christmas from all of us at Waitrose!
#MakesChristmas","December 25, 2015",80 Comments556 Shares520K Views,2.9K,waitroseandpartners
956,"Right, we’re off to enjoy some mince pies and wrap the last of our presents.
Our Facebook wall is now closed, but we’ll be back at 9am on Sunday to hear all about the amazing food you’ve been enjoying.
Merry Christmas from all of us at Waitrose!","December 24, 2015",9 Comments1 Share,60,waitroseandpartners
958,"Leaving a treat out for a certain special visitor #MakesChristmas
What does your family leave out for Father Christmas?","December 24, 2015",110 Comments108 Shares382K Views,757,waitroseandpartners
960,"A warm welcome home #MakesChristmas.
Who are you celebrating it with?","December 23, 2015",93 Comments140 Shares975K Views,1.5K,waitroseandpartners
962,"Create the perfect cheeseboard for Christmas day with our handy guide.
Simply choose one hard cheese, one soft, one goat’s cheese and one blue cheese. We’ve even chosen a few of our favourites to help you.","December 22, 2015",1 Comment7 Shares1.1K Views,20,waitroseandpartners
964,"Leave Santa a sweet treat on Christmas Eve with our festive spiced iced biscuit recipe.
Read the recipe here: http://bit.ly/1MeA2xd","December 22, 2015",2 Comments14 Shares2.8K Views,45,waitroseandpartners
966,"Watch Heston Blumenthal's simple recipe for the ultimate roast potatoes: http://bit.ly/1QFhHB0
Heston shows you his technique to achieve the perfect roast potatoes - crisp on the outside and beautifully fluffy on the inside.
#MakesChristmas","December 21, 2015",8 Comments31 Shares2.1K Views,59,waitroseandpartners
968,"Try our recipe for Tikka roasted cauliflower with a dollop of tahini yogurt – on the table in 25 minutes and perfect for meat-free Monday!
Recipe: http://bit.ly/1P4vGwZ","December 21, 2015",7 Comments7 Shares,48,waitroseandpartners
970,"Watch how to roast the perfect turkey with our top tips and tricks.
Learn more and discover our turkey buying guide here: http://bit.ly/1IZD0W9","December 20, 2015",8 Comments25 Shares3.6K Views,67,waitroseandpartners
972,"Who’s excited for pigs in blankets on Christmas Day? Only 5 days to go…
#MakesChristmas","December 20, 2015",25 Comments6 Shares2.1K Views,114,waitroseandpartners
974,"A festive Christmas jumper #MakesChristmas
Tag a friend below who loves Christmas jumpers!","December 18, 2015",16 Comments4 Shares1.5K Views,48,waitroseandpartners
976,"A little Heston magic #MakesChristmas.
The Heston from Waitrose Buck's Fizz Swirl dessert is available in store and online","December 18, 2015",149 Comments151 Shares1.2M Views,1.3K,waitroseandpartners
978,"Make the most of seasonal sprouts with our quick stir-fry recipe. Rich in vitamin C and 1 of your 5 a day, it makes a great side for Christmas Day
Recipe: http://bit.ly/1OKxgUB","December 18, 2015",6 Comments5 Shares1.3K Views,26,waitroseandpartners
980,"Watch author of ‘Get The Glow’, Madeleine Shaw, show you her delicious recipe for gluten-free sticky toffee puddings with creamy vanilla custard.
Recipe: http://bit.ly/1QAvp6S","December 17, 2015",4 Comments19 Shares1.3K Views,40,waitroseandpartners
982,"Chocolate and gold #MakesChristmas
Our Chocolate Sparkle Bar dessert is now available in store and online","December 17, 2015",59 Comments106 Shares929K Views,1.1K,waitroseandpartners
984,Watch how to make these cute strawberry Santas for a fun treat or a kids’ Christmas party.,"December 16, 2015",10 Comments78 Shares3.3K Views,123,waitroseandpartners
986,"Win an Ultimate Christmas Hamper from Waitrose Gifts!
Simply tell us the best Christmas gift you’ve ever given to someone in the comments below.
Terms: http://bit.ly/1I6AJxz...
See More","December 16, 2015",2K Comments239 Shares,1.9K,waitroseandpartners
990,"Make your own Reindeer food ready for Christmas Eve using oats and edible glitter.
A fun and festive activity for the kids.","December 15, 2015",6 Comments14 Shares1.8K Views,30,waitroseandpartners
992,Heston shows you how to make his moreish gammon with maple-mustard glaze - perfect for an alternative Christmas centrepiece or Boxing Day lunch: http://bit.ly/1Y9C0Lu,"December 14, 2015",8 Comments38 Shares1.7K Views,69,waitroseandpartners
994,"Something for afters #MakesChristmas
Our Cave aged Wookey Hole mature Cheddar is available in store and online: http://bit.ly/1mjyzR6","December 14, 2015",108 Comments113 Shares614K Views,1K,waitroseandpartners
996,"Last chance to win the ultimate Christmas dinner for 12 people, including food, tableware, wine and Champagne!
Simply tell us the special moment that #MakesChristmas for you in the comments below for the chance to win.
Terms: http://bit.ly/1XiPOCS","December 13, 2015",6.6K Comments937 Shares,8.9K,waitroseandpartners
998,"Watch how to make an indulgent dessert, using the well-loved flavours of Black Forest gateau layered into a trifle.
Recipe: http://bit.ly/1O06avK","December 12, 2015",5 Comments40 Shares2.6K Views,86,waitroseandpartners
1000,"Watch Heston’s recipe for cherry Bakewell vodka cranberry sauce – a delicious twist on a classic!
Recipe: http://bit.ly/1IJUCL0","December 12, 2015",2 Comments17 Shares1K Views,50,waitroseandpartners
1002,"Our fans have been sharing the special moment that #MakesChristmas for them. Here are some of our favourites so far!
Why not tell us yours in the comments below? http://bit.ly/1XiPOCS","December 11, 2015",17 Comments4 Shares,61,waitroseandpartners
1004,"Children tell us what they think about Santa, mince pies, the naughty list and all things Christmas.
Tell us what #MakesChristmas for you in the comments below for the chance to win the ultimate Christmas dinner for 12 people. Terms: http://bit.ly/1XiPOCS","December 11, 2015",218 Comments129 Shares346K Views,879,waitroseandpartners
1006,"Martha Collison shares her family recipe for mint chocolate Christmas pudding sprinkled with crushed candy canes.
Read the recipe: http://bit.ly/1lxjLhG","December 10, 2015",2 Comments25 Shares1.4K Views,50,waitroseandpartners
1008,"Multitasking #MakesChristmas
Who’s responsible for cooking Christmas dinner this year?","December 10, 2015",63 Comments34 Shares544K Views,521,waitroseandpartners
1010,"Win two beautiful ‘Snow White Christmas Gift Bags’ from Waitrose Florist – one for you and one for a friend!
Simply tell us who you would gift yours to in the comments below.
Terms: http://bit.ly/1QcCSKJ...
See More","December 9, 2015",4K Comments415 Shares,3.8K,waitroseandpartners
1012,"Waitrose TV stars share their favourite things about Christmas.
Tell us what #MakesChristmas for you in the comments below for the chance to win the ultimate Christmas dinner delivered in time for the big day. Terms: http://bit.ly/1XiPOCS","December 8, 2015",231 Comments53 Shares202K Views,524,waitroseandpartners
1014,"Freshly baked mince pies dusted with a fine layer of icing sugar.
Have you enjoyed your first mince pie of the festive season yet?
#MakesChristmas","December 7, 2015",14 Comments23 Shares2K Views,92,waitroseandpartners
1016,"Presenter and food writer, Donal Skehan, shows you how to make his gluten and dairy-free macaroons drizzled with chocolate.
Read the recipe: http://bit.ly/1N7xG4T","December 7, 2015",6 Comments17 Shares1.2K Views,34,waitroseandpartners
1018,Alan Titchmarsh shares his tips for keeping your Christmas tree looking great throughout the festive period.,"December 6, 2015",2 Comments11 Shares1.5K Views,39,waitroseandpartners
1020,"Tell us what #MakesChristmas for you in the comments below. You could win the ultimate Christmas dinner for 12 people, delivered to you in time for the big day.
Terms: http://bit.ly/1XiPOCS","December 6, 2015",2.5K Comments245 Shares486K Views,1.8K,waitroseandpartners
1022,"Tell us what #MakesChristmas for you in the comments below for the chance to win the ultimate Christmas dinner for 12 people plus lots of festive gifts.
Terms: http://bit.ly/cxR9rg","December 6, 2015",540 Comments59 Shares5.1K Views,486,waitroseandpartners
1024,"Nothing is as special as her first Christmas.
#MakesChristmas","December 5, 2015",74 Comments148 Shares946K Views,2.1K,waitroseandpartners
1026,"A new favourite #MakesChristmas
Try our new Pork, Brussels Sprout and Bacon Stuffing Wraps.","December 4, 2015",137 Comments198 Shares680K Views,1.2K,waitroseandpartners
1028,"There’s nothing quite like a warming glass of spiced mulled wine on a cold winter’s evening.
#MakesChristmas","December 3, 2015",7 Comments26 Shares1.5K Views,112,waitroseandpartners
1030,"Win our Waitrose Cellar Christmas Box filled with 12 bottles of festive wine and fizz.
Simply tell us who you’re celebrating Christmas with in the comments below!
T&Cs: http://bit.ly/1PySN5T...
See More","December 3, 2015",3.2K Comments413 Shares,2.5K,waitroseandpartners
1032,"Today’s Q&A has now closed – thank you everyone for all of your great questions, have a wonderful Christmas – Madeleine.
See here for more advice and gluten-free recipes: http://bit.ly/1YHnzef","December 1, 2015",97 Comments154 Shares,1.5K,waitroseandpartners
1034,Opening the first door of the advent calendar #MakesChristmas,"December 1, 2015",3 Comments16 Shares1.9K Views,118,waitroseandpartners
1036,"With the party season fast approaching, these chicory boats are perfect for serving alongside a Christmas cocktail.","November 30, 2015",2 Comments6 Shares891 Views,36,waitroseandpartners
1038,French pâtissier Eric Lanlard shows you his recipe for an indulgent and show-stopping chocolate Christmas cake. Read the full recipe here: http://bit.ly/1NysIUi,"November 29, 2015",5 Comments34 Shares2K Views,67,waitroseandpartners
1040,Watch Alan Titchmarsh’s top tips for choosing the perfect Christmas tree.,"November 29, 2015",9 Comments17 Shares1.3K Views,50,waitroseandpartners
1042,"Enjoy three Christmas-inspired courses and a bottle of fizz for just £15 (ends 1 December).
Shop the offer in store or online: http://bit.ly/1MOGYCI","November 28, 2015",10 Comments19 Shares,116,waitroseandpartners
1044,"Picking the perfect tree #MakesChristmas
Share photos of your tree in the comments below.","November 28, 2015",271 Comments295 Shares859K Views,1.1K,waitroseandpartners
1046,"Win the ultimate Christmas dinner for 12 people, delivered to you in time for the big day!
Simply tell us the magical moment that #MakesChristmas for you in the comments below.
Terms: http://bit.ly/1XiPOCS","November 27, 2015",1.4K Comments127 Shares,1.4K,waitroseandpartners
1048,"Save up to 20% on waitrose.com this weekend (excludes Groceries) when you use code BLACK2015.
Available on Waitrose Cellar, Waitrose Gifts, Waitrose Kitchen, Waitrose Florist, Waitrose Pet and Waitrose Garden","November 27, 2015",5 Comments,11,waitroseandpartners
1050,"Frangipane cranberry mince pies with a sweet almondy topping – a delicious bake to gift to loved ones.
Read the recipe here: http://bit.ly/1PV3UED","November 26, 2015",3 Comments42 Shares2.1K Views,101,waitroseandpartners
1052,"Aromas of citrus and spice #MakesChristmas
Try our Signature Spice Fruited Sponge Christmas Pudding topped topped with glacé orange quarters and stem ginger: http://bit.ly/1lhpmba","November 26, 2015",187 Comments225 Shares402K Views,2.3K,waitroseandpartners
1054,"Madeleine Shaw shows you how to makes mini fish cake party bites topped with creamy avocado and pomegranate.
Read the full recipe: http://bit.ly/1OgI10I","November 25, 2015",2 Comments11 Shares1.1K Views,33,waitroseandpartners
1056,"Win a 6ft Christmas tree with decorations from Waitrose Florist! Simply comment below with your family's traditions for putting up the Christmas tree.
Terms: http://bit.ly/1lg1SDy
#MakesChristmas","November 25, 2015",2.7K Comments276 Shares,2.7K,waitroseandpartners
1058,"Slow-cooked sticky date and toffee pudding drizzled with warm toffee sauce. Serve with double cream or a scoop of vanilla ice cream for extra indulgence.
Read the recipe here: http://bit.ly/1Lk3pxz","November 24, 2015",4 Comments59 Shares3.9K Views,72,waitroseandpartners
1060,"Today’s Q&A has now closed - thanks for all your great questions, I really enjoyed reading them all.
Have a very merry Christmas.
Heston","November 23, 2015",254 Comments77 Shares,1.9K,waitroseandpartners
1062,"Watch Martha Collison’s festive recipe for spiced marmalade bundt cake – it’s sure to impress friends and family this Christmas.
Read the recipe: http://bit.ly/1MMXIxs","November 22, 2015",3 Comments25 Shares2.2K Views,63,waitroseandpartners
1064,"Tell us what #MakesChristmas for you in the comments below! We’ll be rewarding entries with personalised festive gifts including mince pies, chocolates and bottles of Champagne. Terms: http://bit.ly/cxR9rg","November 21, 2015",1K Comments87 Shares308K Views,1.1K,waitroseandpartners
1066,Pop into your local Waitrose today – you can taste our delicious Christmas cakes and bakes as well as picking up our ultimate Christmas pudding recipe (selected stores only).,"November 21, 2015",2 Comments1 Share,22,waitroseandpartners
1068,"Enjoy 25% off Heston from Waitrose treats until 24 November – including his delicious spiced shortcrust mince pies!
Pick up yours in store or online: http://bit.ly/1OgDNX3","November 20, 2015",3 Comments13 Shares,120,waitroseandpartners
1070,"Introducing our Signature Spice Fruited Sponge Christmas Pudding, now available in store and online: http://bit.ly/1QH28rj
#MakesChristmas","November 20, 2015",136 Comments174 Shares918K Views,1.8K,waitroseandpartners
1074,"Win one of ten Santa Claus Christmas dog jumpers from Waitrose Pet! Simply share photos of your dog in the comments below.
Terms: http://bit.ly/1X4XZxi
#MakesChristmas","November 18, 2015",2.1K Comments576 Shares,2.1K,waitroseandpartners
1076,"Tell us what #MakesChristmas for you in the comments below for the chance to win the ultimate Christmas dinner for 12 people plus lots of festive gifts.
Terms: http://bit.ly/cxR9rg","November 17, 2015",2.3K Comments189 Shares564K Views,1.8K,waitroseandpartners
1078,"Warming Fenland celery soup for meat-free Monday. Serve with a scatter of crumbled Stilton, a swirl of cream and a sprinkle of ground black pepper.
Read the recipe here: http://bit.ly/1Qxbru0","November 16, 2015",5 Comments24 Shares,80,waitroseandpartners
1080,The first batch of mince pies #MakesChristmas – fresh from the oven and gently dusted with icing sugar.,"November 14, 2015",101 Comments76 Shares1M Views,1.6K,waitroseandpartners
1082,"Who fancies a bite of these banana and honey baked doughnuts?
Izy Hossack shows you her recipe for baked doughnuts glazed with almond butter and sprinkled with chopped almonds.
Read the recipe here: http://bit.ly/1QfScF7","November 13, 2015",19 Comments23 Shares3.8K Views,85,waitroseandpartners
1084,"Our zesty orange and almond cake is not only delicious but it's gluten and dairy-free!
Read the recipe: http://bit.ly/1HM3o5a","November 13, 2015",33 Comments56 Shares5.1K Views,175,waitroseandpartners
1086,"Gingerbread stuffing #MakesChristmas
Order our Turkey Breast Parcel with pork, gingerbread and apricot stuffing here: http://bit.ly/1HFQ42q","November 12, 2015",293 Comments238 Shares,6.1K,waitroseandpartners
1088,"Watch how to make our warming Italian kale and cannellini soup served with a slice of ciabatta and poached egg – it’s perfect for colder evenings.
Read the recipe here: http://bit.ly/1QfRw2k","November 9, 2015",23 Comments25 Shares3.5K Views,76,waitroseandpartners
1090,"Which food or special moment #MakesChristmas for you? Tell us in the comments below for the chance to win the ultimate Christmas dinner for 12 people, plus lots of festive gifts!
Terms: http://bit.ly/cxR9rg","November 9, 2015",1.4K Comments236 Shares587K Views,1.6K,waitroseandpartners
1092,"Watch Dhruv Baker’s simple chicken curry recipe – the ultimate Saturday night dish. Serve with a sprinkle of coriander, steamed rice and warm naan bread.
Read the recipe here: http://bit.ly/1LZUyTi","November 7, 2015",2 Comments27 Shares3.1K Views,75,waitroseandpartners
1094,"We love Martha Collison’s salted caramel popcorn squares recipe – simple to make and no baking required.
Read the full recipe: http://bit.ly/1LZVoPS","November 6, 2015",6 Comments10 Shares,66,waitroseandpartners
1096,"Enjoy 25% off all wine and Champagne on Waitrose Cellar, in store and online – the perfect time to stock up for Christmas. Shop here: http://bit.ly/1MCBkTd","November 6, 2015",7 Comments26 Shares,75,waitroseandpartners
1098,"Browse our top 10 recipes for Bonfire Night - from warming curries to indulgent pies, there’s something for everyone.","November 5, 2015",6 Comments6 Shares,70,waitroseandpartners
1100,"Christmas is a time filled with family moments and wonderful food.
So, whatever #MakesChristmas for you, make it with Waitrose.","November 4, 2015","503 Comments1,879 Shares3.1M Views",11K,waitroseandpartners
1104,"Sweet Romano peppers tossed with roasted potatoes, smoked paprika and served with garlic mayonnaise – a delicious recipe for meat-free monday!
Read the full recipe: http://bit.ly/1jU2bUx","November 2, 2015",13 Comments52 Shares,251,waitroseandpartners
1106,Browse our Bonfire Night Pinterest board filled with tasty treats to keep you warm and toasty whilst watching the fireworks: http://bit.ly/1LHLSAK,"November 1, 2015",2 Comments6 Shares,77,waitroseandpartners
1108,"Watch how to make our spiced bonfire ‘bang’ cookies made from butternut squash - decorate with kiwi fruit and chocolate stars.
Read the full recipe: http://bit.ly/1W6oJNn","November 1, 2015",3 Comments7 Shares4.1K Views,53,waitroseandpartners
1110,"Watch Martha Collison’s recipe for ‘Florentarts’ - crisp Florentine tarts filled with a rich chocolate ganache.
Read the full recipe: http://bit.ly/1QWYg3v","October 31, 2015",7 Comments37 Shares3.8K Views,94,waitroseandpartners
1112,"Last chance to win £150 Waitrose gift voucher!
Simply post a photo or tell us your favourite autumn food in the comments below for your chance to win.
Terms: http://bit.ly/1YQTZnN","October 31, 2015",2.3K Comments321 Shares,5.2K,waitroseandpartners
1114,Watch how carve the perfect pumpkin ready in time Halloween tomorrow!,"October 30, 2015",13 Comments30 Shares4.8K Views,65,waitroseandpartners
1116,"Watch our recipe for meringue bones drizzled with blackberry ‘blood’ - simple to make and the kids will love them.
Read the full recipe: http://bit.ly/1W6h8hO","October 30, 2015",3 Comments16 Shares3.7K Views,54,waitroseandpartners
1118,"Watch John Whaite’s recipe for cranberry and white chocolate scones. Serve with clotted cream and marmalade for a delicious twist on a classic.
Read the full recipe: http://bit.ly/1GjXNb9","October 29, 2015",9 Comments46 Shares5.3K Views,124,waitroseandpartners
1120,"Watch our delicious recipe for gingerbread baked apples served with vanilla ice cream - the perfect dessert for after dinner.
Read the full recipe here: http://bit.ly/1LGmMFX","October 28, 2015",10 Comments73 Shares6K Views,153,waitroseandpartners
1122,"Watch Deliciously Ella’s warming recipe for vegan sweet potato and chickpea stew – perfect for meat-free Monday!
Read the recipe here: http://bit.ly/1Lv4U0D","October 26, 2015",18 Comments80 Shares5.9K Views,114,waitroseandpartners
1124,"From spooky treats to devilishly good cakes, browse our Halloween Pinterest board for our best Halloween recipes: http://bit.ly/1LOueyO","October 26, 2015",3 Comments10 Shares,40,waitroseandpartners
1126,"Watch how to make our creepy creatures tray bake – a delicious sponge smothered in chocolate icing and decorated with your spooky treats for Halloween.
Read the full recipe: http://bit.ly/1i0uBKq","October 25, 2015",2 Comments25 Shares4.6K Views,62,waitroseandpartners
1128,"Watch Bake Off 2012 winner John Whaite, show you his delicious carrot cake recipe with cranberry and lime.
Read the recipe here: http://bit.ly/1G8KR7I","October 25, 2015",4 Comments27 Shares4.2K Views,85,waitroseandpartners
1130,"Sometimes there’s nothing better than a cosy night in with comfort food.
Show us the delicious food you're enjoying this evening in the comments below.","October 24, 2015",7 Comments3 Shares,51,waitroseandpartners
1132,"Post photos or tell us what ghoulish treats you'll be making for Halloween in the comments below for a chance to win £150 Waitrose gift voucher for an autumn food shop!
Terms: http://bit.ly/1YQTZnN","October 24, 2015",529 Comments292 Shares,4K,waitroseandpartners
1134,"Today’s Q&A is now closed. Thanks for all of your great baking questions.
Why not get baking for Great Ormond Street Hospital Children's Charity #BakeItBetter fundraising campaign? Find out more here: http://bit.ly/1QnstIM
- Eric Lanlard.","October 20, 2015",91 Comments84 Shares,1.7K,waitroseandpartners
1136,"Show off your best bakes in the comments below for the chance to win a luxury baking hamper!
Browse a few of our favourite recipes and be inspired to bake for Great Ormond Street Hospital’s #BakeItBetter campaign.
Terms: http://bit.ly/1M49qFz","October 20, 2015",62 Comments15 Shares,99,waitroseandpartners
1138,"Every autumn we hand pick the crispest Bramley and Cox’s apples from our very own farm in Leckford. You'll find they make any crumble even tastier.
Find more Waitrose autumn inspiration here: http://bit.ly/1M3t2U8","October 19, 2015",16 Comments33 Shares95K Views,358,waitroseandpartners
1140,Post a photo or tell us your favourite warming dessert in the comments below for a chance to win a baking bundle! Terms: http://bit.ly/1YQTZnN,"October 17, 2015",1K Comments168 Shares,3.5K,waitroseandpartners
