,Date,Brand,Post_Content,All_Responses,Comments,Shares,Views,Contains_Link,Contains_Video
3454,"May 31, 2017",lidluk,"Festival season is just around the corner! Pitch up in style with this two person tent (pegs and guy rope included).
In store Thursday 1st June.",190,153,99,0,False,False
3455,"May 30, 2017",lidluk,"It’s French Week! So what better reason to try our escargot?! With their creamy garlic finish, we’ve absolutely snailed the taste!
In store Thursday 1st June.",172,146,32,18000,False,True
3456,"May 29, 2017",lidluk,"Here’s a simple food hack you’ll go coco-nuts for.
Prepare some coffee ice cubes, mix them with half a can of coconut milk and slurp away! http://bit.ly/2qr3JYG",230,43,41,22000,True,True
3457,"May 28, 2017",lidluk,Take your favourite fruit and chop into small cubes. Drop the cubes into your ice cube tray then simply add water and freeze! Voila!,118,2,5,17000,False,True
3458,"May 27, 2017",lidluk,"Cup Final and Play-Off Weekend. Bank Holiday on the horizon. And we're doing what we do best. Outscoring the competition by being big on quality, Lidl on price!",106,9,9,16000,False,True
3459,"May 27, 2017",lidluk,"Sizzle me timbers, it’s hot outside! Time to stock up on your favourites and fire up the BBQ.",118,13,9,0,False,False
3460,"May 26, 2017",lidluk,"Did somebody say BBQ? And with our Charcoal on offer this sunny Saturday and Sunday, what better time to get your grill into gear?!",103,35,24,0,False,False
3461,"May 25, 2017",lidluk,"Take a spin for a summery chin chin! But be quick - our latest carefully curated selection of wine is so sought-after, they might vanish like a midsummer’s dream. In store today.
While stocks last. Prices correct as of 25/05/2017.",62,9,5,10000,False,True
3462,"May 22, 2017",lidluk,"Veg out with these cracking courgette chips. Instructions below!
Slice up your courgette and dip in egg mixture. Mix up flour, parmesan cheese and breadcrumbs in a bowl and dip your eggy courgette slices in the mix. Stick them in the oven on a medium heat until they're golden brown and enjoy!",190,39,59,22000,False,True
3463,"May 21, 2017",lidluk,"This professional grade hair dryer complete with ion technology will leave you ready for your close up!🤳
In store today.",133,30,11,0,False,False
3464,"May 20, 2017",lidluk,"Sew you want to get crafty? This classic Singer sewing machine will get you stitching in no time.
In store Sunday 21st May.",249,53,51,0,False,False
3465,"May 19, 2017",lidluk,"Been woken up early recently? Our baby nappies are so absorbent and soft, they’re every parent’s dream.",40,8,3,12000,False,True
3466,"May 18, 2017",lidluk,"A dish fit for royalty! Our 'Jersey Royals, pea and mint crush' recipe is a superbly delicious alternative to potato salad.",308,35,72,26000,False,True
3467,"May 18, 2017",lidluk,"Amp up the volume this weekend with our Bluetooth Speaker!

In store today.",63,18,13,0,False,False
3468,"May 17, 2017",lidluk,"The Ham, The Myth, The Legend. Our massive Serrano Ham is back!

In store Thursday 18th May.",428,220,91,0,False,False
3469,"May 16, 2017",lidluk,"On Tapas the world! Starting Thursday 18th May, it’s Sol Y Mar week at Lidl.",541,254,72,36000,False,True
3470,"May 15, 2017",lidluk,"All aboard the pepper train! (If this doesn't get kids excited about veggies, nothing will.)",2000,253,535,0,False,False
3471,"May 14, 2017",lidluk,"Quick, easy and super tasty, this Greek Yogurt Granola Bowl is a breakfast staple. (We'd eat it any time of day, though!)",311,26,27,26000,False,True
3472,"May 13, 2017",lidluk,"Our scratching post is perfect for keeping kitty claws occupied and away from your sofa – fur-real!
In store tomorrow.",569,542,249,0,False,False
3473,"May 12, 2017",lidluk,This Saturday and Sunday. Chardonnay Veneto Bianco. £2.99. Enough said!,411,142,82,0,False,False
3474,"May 12, 2017",lidluk,Success never tasted so sweet... or creamy... or spicy... or sour... or delicious... or juicy... or crunchy... #OwnLabelAwards #LidlSurprises #NotALidlSurprise🎉,804,40,35,0,False,False
3475,"May 12, 2017",lidluk,"Forget socks. We're giving you the chance to nominate your footy-mad dad for an extra-special Father's Day surprise.

Intrigued? Click here - lidl.co.uk/fathersdaysurprise",67,8,8,0,False,False
3476,"May 11, 2017",lidluk,"All of the fluffiness, none of the hassle!

In store today.",458,351,79,0,False,False
3477,"May 10, 2017",lidluk,"Our League Winner's Lasagne is top of the table when it comes to Fuelling your Lidl Footballers!
Find out more here - http://bit.ly/2pvvGPa",53,9,5,11000,True,True
3478,"May 9, 2017",lidluk,"This tasty tropical treat is served up in a real coconut shell - fancy!
In store Thursday 11th May.",1100,477,146,0,False,False
3479,"May 8, 2017",lidluk,Get arty and spice up your rice cakes with the emoji of your choice – what’s your favourite?!,327,30,46,0,False,False
3480,"May 7, 2017",lidluk,Add a little flavour to your day with our nifty infuser bottle or citrus juicer. In store today!,400,119,66,0,False,False
3481,"May 6, 2017",lidluk,Our Hasselback Jersey Royals meet their match with our zingy Chorizo Dip. And the results are gloriously delicious.,291,40,78,34000,False,True
3482,"May 6, 2017",lidluk,"Another fresh, shiny Super Weekend offer for you!
Laundry gel at just 99p!",223,52,19,0,False,False
3483,"May 5, 2017",lidluk,"Regal by name, majestic by nature. The traditional growing methods and the rich Jersey soil make our Jersey Royals potato royalty.",361,36,47,37000,False,True
3484,"May 5, 2017",lidluk,"We've cracked it with this one...
Coconut water is just 99p this weekend",225,68,34,0,False,False
3485,"May 4, 2017",lidluk,"Win a family holiday to Barcelona, plus loads of footy prizes! Spend £20 or more and get a scratch card for your chance to win.
Find out more here: http://bit.ly/2qvoZkc",89,34,10,8700,True,True
3486,"May 4, 2017",lidluk,"From the chocolate chips in our biscuits to the chocolate powder on our tiramisu, all of the cocoa in our own-brand products is 100% sustainably sourced.",384,5,6,0,False,False
3487,"May 4, 2017",lidluk,"Prep for the hot summer days to come (hopefully) with our inflatable paddling pool!
In store today.",2200,1800,627,0,False,False
3488,"May 3, 2017",lidluk,"500ml tubs of creamy Häagen-Dazs goodness for just £1.99 each. You heard it here first!
In store Thursday 4th May.",1700,800,399,0,False,False
3489,"May 2, 2017",lidluk,Wipe hype! Four packs of 64 top-quality baby wipes at only £2.09!,111,26,21,21000,False,True
3490,"April 30, 2017",lidluk,"Get all up in yo' grill this summer with our chrome-plated Trolley Barbecue, complete with built-in bottle opener so you can sip while you flip..
In store from today.",481,413,124,0,False,False
3491,"April 29, 2017",lidluk,Get yourself a bottle of our exquisite Barolo for just £4.99 this weekend!,286,169,70,0,False,False
3492,"April 28, 2017",lidluk,"Swing into spring and switch on some ambience with our hanging glass bottle tealight holders! In stores Sunday 30th April as part of our beautiful Garden Party range.
http://bit.ly/2pFj5wB",272,55,17,27000,True,True
3493,"April 27, 2017",lidluk,"Big on quality, Lidl on price. A deal that washes away the competition.
Sweep all this up for only £6.52!",159,20,9,0,False,False
3494,"April 26, 2017",lidluk,This steamy number makes short work of creases! In store Thursday 27th April.,160,67,30,0,False,False
3495,"April 25, 2017",lidluk,Celebrate World Penguin Day with the cutest canapés you ever did see! (They’re almost too adorable to eat…),4600,2000,2084,301000,False,True
3496,"April 24, 2017",lidluk,"Our new fruit packs are perfect for Al Fresco or Al Desko snacking! Choose from Mango, Pineapple or Melon and Grape.",588,58,32,0,False,False
3497,"April 23, 2017",lidluk,"Like a vampire or the Arctic Monkeys, our solar powered light balls’ finest moment is when the sun goes down! In store Sunday 23rd April.
http://bit.ly/2pKTh25",223,49,18,0,True,False
3498,"April 22, 2017",lidluk,"Big on quality, Lidl on price. A deal that washes away the competition.
Comment below with your best #LidlPrices deal for a chance to win a £50 voucher!
Ends 26/04/17. T&Cs apply - http://bit.ly/2p27BSV",358,165,32,28000,True,True
3499,"April 22, 2017",lidluk,"These nifty plant pot trios will seriously grow on you. In store Sunday 23rd April.
http://bit.ly/2ox62Z9",371,48,23,0,True,False
3500,"April 21, 2017",lidluk,"Alright everybody, chill. Rattan Cool Box for just £29.99
In store Sunday 23rd April (Drinks not included).",1800,1300,486,0,False,False
3501,"April 20, 2017",lidluk,Forget fireworks – spring is here and so is Lidl’s flowerwork display. Catch the show every day at our Flower Market.,241,15,7,18000,False,True
3502,"April 19, 2017",lidluk,"As the nights get warmer (well... in theory), our TopCool® duvet will help you keep your cool!
In store Thursday 20th April.",489,245,91,0,False,False
3503,"April 19, 2017",lidluk,"We put the power in the hands of our employees to vote for our new charity partner, and are delighted to announce that it's.... NSPCC.
Find out more here.",1000,23,52,0,False,False
3504,"April 18, 2017",lidluk,Eat divine. Our Greek Week starts on Thursday 20th April!,526,227,108,41000,False,True
3505,"April 17, 2017",lidluk,CHARGE! With this nifty Solar Charger at just £9.99!,242,93,43,0,False,False
3506,"April 16, 2017",lidluk,Happy Easter from everyone at Lidl!,536,36,12,0,False,False
3507,"April 15, 2017",lidluk,"Get crafty and bring spring into your home this Easter with our flower press hack!

Click the link for the how to: http://bit.ly/2o9Tx5z",99,4,7,0,True,False
3508,"April 14, 2017",lidluk,Still not got your Easter chocolate sorted? Well we've got the perfect solution for ewe! Larry The Lamb for just £1.79.,240,36,17,0,False,False
3509,"April 13, 2017",lidluk,"It takes time and experience to become a wine and food expert, or simply look at this post.
While stocks last. Prices correct as of 13/04/2017.",362,55,10,291000,False,True
3510,"April 13, 2017",lidluk,FYI - You can find the Easter opening hours for your local Lidl store right... here!,134,41,8,0,False,False
3511,"April 13, 2017",lidluk,Ever tried a hot AND cold cross bun? Follow the link to the recipe and bun appetit! bit.ly/2ndMev5,480,83,78,265000,False,True
3512,"April 13, 2017",lidluk,"Pick up a pot of our Body Butter for silky smooth skin – pronto! Choose from Mango, Coconut or Honeymelon (or grab all three...). In store today.",314,36,19,0,False,False
3513,"April 12, 2017",lidluk,"Pop it like it’s hot! Enjoy Comte de Senneval Champagne (responsibly) with friends, for just £9.99.",501,112,39,178000,False,True
3514,"April 11, 2017",lidluk,"Give boring breakfast its marching orders! Bacon, vegetables and toast reporting for duty!",136,8,3,27000,False,True
3515,"April 10, 2017",lidluk,Stocking up on wine for the weekend? Vino we are... So we're giving you 20% off when you buy three or more bottles from the Wine Cellar collection. Cheers to that!,98,20,11,0,False,False
3516,"April 9, 2017",lidluk,This rechargeable Vacuum Cleaner guzzles up both wet and dry spills in no time – get yours for £14.99 while stocks last!,326,117,34,0,False,False
3517,"April 8, 2017",lidluk,"What's better than chocolate? A bar of our finest, Dark Chocolate with chilli or sea salt for just 49p – that's what!",389,66,33,0,False,False
3518,"April 7, 2017",lidluk,Time for picnic season to begin! Stock up on all your favourites and eat al fresco now the sun’s out!,446,25,16,0,False,False
3519,"April 6, 2017",lidluk,"Here’s a ‘Lidl’ tip for you. Daffodils give off a pesky sap that other flowers don’t like. So if you want to pair your daffs with other blooms, all you need to do is cut the ends and place them in water six hours before arranging.",214,10,33,20000,False,True
3520,"April 6, 2017",lidluk,"At just £3.99 per kg, we’re giving you a delicious leg up here!",916,304,59,356000,False,True
3521,"April 5, 2017",lidluk,"Presenting the perfect breakfast for filling Lidl tummies on Easter Morning!
Click here for full recipe: http://bit.ly/2otjema",225,17,40,0,True,False
3522,"April 5, 2017",lidluk,"One electric toothbrush, two-minute countdown, millions of sparkling smiles. Brighten up your day at only £12.99 In store Thursday 6th April.
While stocks last. Price correct as of 04/04/2017",115,20,21,30000,False,True
3523,"April 2, 2017",lidluk,This Socket Cube complete with USB power ports is the niftiest way to ensure you're always powered up. Grab yours for just £7.99.,3300,1100,701,0,False,False
3524,"April 1, 2017",lidluk,Get your hands on our buns this weekend for only £1.49!,174,26,10,0,False,False
3525,"March 31, 2017",lidluk,"Boom! Available in Cornish Fudge, Eton Mess, Salted Caramel and Dark Mocha, our Deluxe Easter Eggs are utterly divine. And at just £3.49 or 2 for £6, they’re eggcellent value too.",2300,810,197,430000,False,True
3526,"March 30, 2017",lidluk,Go nuts with this tempting hand-crafted Baklava assortment – a taste of the Med for just £2.49!,1600,626,225,0,False,False
3527,"March 30, 2017",lidluk,"The votes have been counted over Facebook and Twitter... It was a close call, but we have a winner! Keep your eyes peeled for Hippopotaspuds launching in store soon!",271,41,8,0,False,False
3528,"March 29, 2017",lidluk,"Hint, hint... It's obviously Lidl!",167,17,5,0,False,False
3529,"March 29, 2017",lidluk,"Sommelier in a snap. Here’s our perfect food pairings for a selection of our new Spring Wine Cellar range to impress your friends with this Easter. Wines in store from 30th March. bit.ly/2o9xixM
While stocks last. Prices correct as of 29/03/2017.",164,19,18,97000,False,True
3530,"March 28, 2017",lidluk,Follow the link to find the recipe for the cutest Easter cupcakes ever: bit.ly/2obQ5rw,680,204,154,254000,False,True
3531,"March 28, 2017",lidluk,"Lidlers! We're giving you the choice of which of our new naturally colourful, fun size potatoes we launch in store next.

So which one are you root-ing for?! Hit Like if the pink and white Hippopotaspuds rock your boat or Love if you're all about the purple Dragon Eggs!",1100,184,48,0,False,False
3532,"March 27, 2017",lidluk,"You’d be hopping mad if you missed out on these Lidl treats. With a taste so sweet, they’re the perfect Easter pressie.",570,73,33,0,False,False
3533,"March 26, 2017",lidluk,"You cheer from the sidelines, get involved in training, wash muddy kit and cook yummy meals – what would your Lidl footballers do without you?!
Happy Mother’s Day from Lidl and The FA Skills children!",105,4,21,16000,False,True
3534,"March 25, 2017",lidluk,"Take a bottle of shampoo and bibbidi-bobbidi-boo! Follow the link to find out how to entertain your kids with our shampoo bottle recycling magic.
bit.ly/2myvamt",291,24,16,273000,False,True
3535,"March 24, 2017",lidluk,"Our Italian Stallion, Chardonnay del Veneto, is only £2.99 as part of our Super Weekend! Eccellente!",338,104,77,0,False,False
3536,"March 23, 2017",lidluk,She raised you to be the person you are today. So raise your game with a truly heart-warming gift.,197,9,5,0,False,False
3537,"March 23, 2017",lidluk,"Be Mum’s favourite this Sunday with our charming Mother's Day bouquets!
Check out the link for full range, prices and in store dates - bit.ly/2nMvNsq",275,22,10,0,False,False
3538,"March 22, 2017",lidluk,"If you’re as daffodil daft as we are, you’ll want to get the most out of your bunch. So cut the stems at a slight angle and our beautiful British daffs should brighten up your home for that little bit longer.",1100,84,76,250000,False,True
3539,"March 22, 2017",lidluk,"Bring the sunshine indoors, with our quality British daffodils. A snip at only 95p #LidlSurprises",388,73,17,35000,False,True
3540,"March 22, 2017",lidluk,"Guess who’s back? Back again. Lobster’s back. 2 for £10.
Grab yours in store from Thursday!",537,337,115,0,False,False
3541,"March 21, 2017",lidluk,"We're proud to support British farming and are delighted to support the NFU Online's ‘Back British Farming Charter’!
Find out more here: https://www.lidl.co.uk/…/Lidl-UK-Backs-British-Farming-4740…",1700,65,263,0,True,False
3542,"March 20, 2017",lidluk,"In store from Thursday 23rd March, we've got something we think you'll go nuts for! Butter be quick though, once it's gone... it's gone.",1300,1500,702,0,False,False
3543,"March 19, 2017",lidluk,"Get baking Easter-style with these super easy to use baking moulds – choose from bunnies, butterflies and more! In store Sunday 19th March.",346,77,81,0,False,False
3544,"March 18, 2017",lidluk,"It's Super Weekend time! And we've got fab offers on a selection of our award-winning nappies!
Check in store for full details, offer ends Sunday 19th March.",80,36,30,0,False,False
3545,"March 16, 2017",lidluk,"The eagle-eyed amongst you may have noticed our shiny new website is now live!
If you haven't had a chance to take a look yet - it's just a click away!",629,56,18,0,False,False
3546,"March 16, 2017",lidluk,Brighten up someone’s day with a bunch of our beautiful British daffodils. Buy in store today for 95p,3100,226,396,482000,False,True
3547,"March 15, 2017",lidluk,"As part of Baby Week, our organic cotton baby clothes range is in store from Thursday 16th March!",1000,361,183,247000,False,True
3548,"March 14, 2017",lidluk,"“Goo, gah, eh, gah!” Yep, all you Baby Language scholars read right! Our Baby Week products are in store this Thursday!
We've got everything you need, from award-winning nappies to snuggly organic cotton sleepsuits and yummy scrummy baby food.",244,117,74,0,False,False
3549,"March 13, 2017",lidluk,"Our Champion Chicken Noodles recipe will fuel your Lidl footballers for under a pound per portion. Score!
Find out more here - http://www.lidl.co.uk/en/19040.htm",1200,71,187,573000,True,True
3550,"March 11, 2017",lidluk,Clean up this Super Weekend with four rolls of Kitchen Towels for a flawless 99p!,246,25,19,0,False,False
3551,"March 10, 2017",lidluk,"*Bonus Super Weekender Klaxon*
To celebrate British Pie Week, we're dropping the price on these Deluxe pastries! Enjoy!",326,96,61,0,False,False
3552,"March 9, 2017",lidluk,"Good things may come to those who wait, but why hang about when you can pick these up in store now!",898,493,467,0,False,False
3553,"March 8, 2017",lidluk,Our Deluxe Smoked Scottish Salmon: so good you don’t need to dress it up. Irresistible at only £2.79 a pack,452,58,16,0,False,False
3554,"March 7, 2017",lidluk,Why wait till Oktoberfest when our Taste of the Alps range is in store from Thursday?,470,120,90,0,False,False
3555,"March 6, 2017",lidluk,"It’s British Pie Week! Try making our delicious bacon, cheese and leek pie using Red Tractor assured British meat, veg and dairy. Recipe here: http://www.lidl.co.uk/en/19309.htm",1000,196,218,0,True,False
3556,"March 4, 2017",lidluk,Channel Craig himself with a pair of these nifty foldable headphones for an even niftier £9.99 – in store Sunday!,117,15,13,0,False,False
3557,"March 3, 2017",lidluk,Don’t let this one slip! This Saturday and Sunday our quality Primadonna Extra Virgin Olive Oil is just £1.49!,233,29,24,0,False,False
3558,"March 2, 2017",lidluk,"This week we're bringing you a taste of Eastern Europe, so how about some Hungarian Salami for a delicious £2.99?",214,45,17,0,False,False
3559,"March 1, 2017",lidluk,"Hey Facebook! We're currently piloting a range of fun size veg with names and packaging designed to help encourage kids to eat their greens (and reds, and yellows).
And we want your feedback. Is this something that would encourage your Lidl 'Uns to eat more veggies? Let us know in the comments.",2600,727,175,0,False,False
3560,"March 1, 2017",lidluk,More dough for your dough. Our range of bakery products rise above the competition. Which one is your favourite?,751,231,15,0,False,False
3561,"February 26, 2017",lidluk,How about something a bit different this Pancake Day? Think you can top these tantalising toppings with a unique pancake recipe of your own? Let us hear it!,361,82,37,337000,False,True
3562,"February 23, 2017",lidluk,"Repeat after us: buono, buono, buonissimo! From Thursday 23rd it’s Italiamo Week at Lidl!",864,93,60,0,False,False
3563,"February 22, 2017",lidluk,"Time to get excited, people! Italiamo Week starts in store tomorrow – Salute!",1300,592,293,0,False,False
3564,"February 21, 2017",lidluk,Hoovering sucks. Leave it to our bagless robot vacuum to get the job done without lifting a finger! In store from Thursday 23rd Feb.,1000,986,371,0,False,False
3565,"February 17, 2017",lidluk,"Fuel your Lidl footballers for just 61p per portion with our hearty Spaghetti Bolognese recipe. Back of the net!
Find out more here - http://www.lidl.co.uk/en/19040.htm",256,14,17,49000,True,True
3566,"February 15, 2017",lidluk,Pancake Day is coming...but why wait?! Pick up our top 4 toppings now!,455,63,29,306000,False,True
3567,"February 14, 2017",lidluk,We weren’t there when you met your perfect match. But we’ll help you find something special to go with that bottle of bubbly this Valentine’s Day.,102,11,6,0,False,False
3568,"February 13, 2017",lidluk,"Is your Lidl ‘un a Tartan Army enthusiast? Maybe they’re mad about The Three Lions? Either way, you could win a chance for them to be a player escort for Scotland vs. Slovenia or England vs. Lithuania on 26th March!
Enter here - http://www.lidl.co.uk/en/12890.htm (T’s and C’s apply)",86,17,28,0,True,False
3569,"February 12, 2017",lidluk,"Love me tender, love me sweet, a hundred roses is what you need. Pick them up for only £25 from Monday 13th February. At selected stores only, whilst stocks last.",1700,411,243,0,False,False
3570,"February 11, 2017",lidluk,Some things are just meant to be together. Swipe to discover the perfect match this Valentine's Day.,371,18,8,0,False,False
3571,"February 10, 2017",lidluk,"This Saturday and Sunday, Comte de Senneval Champagne is only £7.99!
Let the bubbles flow!",242,41,34,0,False,False
3572,"February 8, 2017",lidluk,"Cheese up this Valentine’s Day. From Thursday the 9th, our French Week will bring the fromance.",1200,398,166,452000,False,True
3573,"February 7, 2017",lidluk,Love is in the air and it smells oh so sweet. Pick up a bottle of our exquisite Eau de Parfum for £3.99 or spoil yourself with both for just £7! In store from Thursday.,222,59,33,0,False,False
3574,"February 5, 2017",lidluk,All out of juice? Stock up on this breakfast staple for a tasty 49p.,280,36,7,0,False,False
3575,"February 3, 2017",lidluk,"This Saturday and Sunday, silky smooth skin is just 79p away...",326,73,48,0,False,False
3576,"February 2, 2017",lidluk,Clean up this Super Weekend! Our Formil Liquid Tabs will leave your clothes fresh and your wallet happy...win! Offer valid this weekend only!,242,43,29,0,False,False
3577,"February 2, 2017",lidluk,"Dear Lidlers, a number of you have contacted us regarding a competition to win prizes from Lidl via WhatsApp. Unfortunately this is a scam made to look like a competition from us.
If in doubt, check out http://www.lidl.co.uk/competitions for all the latest competition news or feel free to send us a message and we’ll be happy to verify any promotion we’re currently running.
Thank you.",228,20,276,0,True,False
3578,"February 1, 2017",lidluk,"Organic Week starts in store from the 2nd of February, and even our background colours have gone au naturel!",1800,250,153,362000,False,True
3579,"January 31, 2017",lidluk,"With an integrated power pack and two illuminated mirrors, you’ll never run out of battery (or walk around with lipstick on your teeth) ever again. In stores from Thursday.",333,88,66,0,False,False
3580,"January 31, 2017",lidluk,"Rated 91/100 (outstanding) by our Master of Wine, this first-class bottle of Pinot Gris Riesling is priced at just £7.99.",147,18,9,0,False,False
3581,"January 30, 2017",lidluk,"Working with neighbourly allows us to continue making real, positive contributions to the local communities we’re proud to be a part of. Take a look at the video to find out more about our new national food redistribution programme.",1000,78,218,68000,False,True
3582,"January 29, 2017",lidluk,"Chilly season getting to you? Warm up with your very own Soup Maker and have your lunches sorted for the rest of the week. In stores now, whilst stocks last!",255,95,69,0,False,False
3583,"January 27, 2017",lidluk,Stock up on food for your pooch this Super Weekend – at £3.99 for 10kg this is one pawesome offer you don’t want to miss! (Offer in stores this Saturday and Sunday.),109,71,40,0,False,False
3584,"January 26, 2017",lidluk,We are proud to announce our upcoming partnership with neighbourly in the fight against food waste.,1700,148,452,96000,False,True
3585,"January 25, 2017",lidluk,Asian Week starts tomorrow and we're SOY excited. Take a wok our way to discover delights from the four corners of Asia!,380,91,41,0,False,False
3586,"January 24, 2017",lidluk,Sushi night in? We’ve got everything you need for your Japanese banquet in store from Thursday 26th Jan.,1200,581,167,313000,False,True
3587,"January 21, 2017",lidluk,"Be sure to share this sparkling deal. This Saturday and Sunday, pick up a bottle of our Amorany Cava for just £3.99 (whilst stocks last).",351,94,69,0,False,False
3588,"January 20, 2017",lidluk,"With the help of Jazz Richards, Nadia Lawrence and Parklands Primary we've now extended our Lidl Play More Football Programme into primary schools!
Find out more here: www.lidl.co.uk/football",128,7,10,39000,False,True
3589,"January 20, 2017",lidluk,"Want help hosting the perfect Burns Night? Challenge accepted! Wow your guests with our delicious haggis, neeps and tatties.",940,169,100,0,False,False
3590,"January 19, 2017",lidluk,"To celebrate the launch of the Lidl Play More Football scheme in primary schools - the boys and girls of Parkland Primary school got the chance to hold their own press conference with Welsh international footballers, Jazz Richards and Nadia Lawrence!
Want to find out more? Visit: www.lidl.co.uk/football",407,30,61,207000,False,True
3591,"January 10, 2017",lidluk,"With such an amazing price, everything goes smoothly. Pick up our Nutrition Mixer for only £29.99! In store from Thursday 12th January.",1100,373,156,536000,False,True
3592,"January 1, 2017",lidluk,Happy 2017! We'll be back online from 2nd January for a new year full of surprises!,1600,55,24,0,False,False
3593,"December 24, 2016",lidluk,We’ll be back online on the 27th December. Merry Christmas!,1000,49,14,0,False,False
3594,"December 22, 2016",lidluk,"As a thank you to everyone who participated in the Lidl Social Price Drop, we’ve got one more festive offer for you. From Friday, our Deluxe King Prawns (720g) will only cost £4.99! Merry Christmas!",1200,546,202,0,False,False
3595,"December 16, 2016",lidluk,"Christmas dinner sorted! And at a price to make you feel merry and bright.
Click the link to find out how to take care of your whole Christmas Day feast for under £70.",1300,142,70,760000,False,True
3596,"December 16, 2016",lidluk,"Want to know when you can pick up Every Lidl Thing For Christmas this year?
Our Christmas opening hours are online now!",217,30,25,0,False,False
3597,"December 16, 2016",lidluk,"From Christmas breakfast through to that last mince pie, we’ve got everything you need for your Christmas Day feast for under £70.",2000,161,98,989000,False,True
3598,"December 15, 2016",lidluk,Everything you need for your whole Christmas Day feast for under £70. #LidlSurprises,1000,110,63,0,False,False
3599,"December 14, 2016",lidluk,"Thanks to the Lidl Social Price Drop, for ONE DAY ONLY we’ve dropped our Silver Topped Christmas Pudding to just £3.99. In store Saturday.",1400,279,205,0,False,False
3600,"December 9, 2016",lidluk,Celebrate with something a little bit special this year. Belgian Chocolate Sponge with a shimmering clementine or cherry centre in store now for just £3.49,587,86,60,41000,False,True
3601,"December 8, 2016",lidluk,"Not a sprouts fan? You need kalettes in your life.
Sweeter in flavour and just as festive.",3500,1000,939,949000,False,True
3602,"December 7, 2016",lidluk,"Dear Lidlers, a number of you have contacted us regarding a competition to win a £500 Lidl voucher via email. Unfortunately this is a scam made to look like a competition from us.
If in doubt, check out http://www.lidl.co.uk/competitions for all the latest competition news or feel free to send us a message and we’ll be happy to verify any promotion we’re currently running.
Thank you.",739,80,823,0,True,False
3603,"December 7, 2016",lidluk,"Thanks to the Lidl Social Price Drop, for ONE DAY ONLY we’ve dropped our Mini Butter Stollen to just 99p! In store Saturday.",2200,875,476,0,False,False
3604,"December 6, 2016",lidluk,"Festive food hack time! Melt your favourite chocolate and let it set in a small tin with sticks; a sweet treat to surprise and delight!
And make sure you send us a snap if you give it a try.",323,23,104,42000,False,True
3605,"December 6, 2016",lidluk,Who said you can’t play with your food? Turn those unused potatoes into colourful Christmas stamps!,238,41,60,40000,False,True
3606,"November 30, 2016",lidluk,Thanks to the Lidl Social Price Drop for ONE DAY ONLY we’ve dropped our Serrano Ham to just £26.99. In store all day Saturday.,371,405,181,0,False,False
3607,"November 24, 2016",lidluk,"Fly to the moon, watch the stars together or sail away; some gifts never stop giving… Find the best Christmas presents at Lidl.",650,69,47,423000,False,True
3608,"November 24, 2016",lidluk,Here at Lidl we're proud to pay the real Living Wage.,4700,294,597,0,False,False
3609,"November 23, 2016",lidluk,Thanks to the Lidl Social Price Drop for ONE DAY ONLY we’ll be dropping the price of our Deluxe lobsters to just £2.99. In store all day Saturday.,5600,3100,1998,0,False,False
3610,"November 21, 2016",lidluk,"This Christmas, we’ll be lowering our prices based on social chatter. Look out for a new price announcement each week! #LidlSurprises
Find out more here: www.lidl.co.uk/socialpricedrop",9400,936,823,1100000,False,True
3611,"November 18, 2016",lidluk,"Our Friday Food Hack will take your chocolatier skills to the next level!
Make sure you share some snaps of your masterpieces if you give it a go over the weekend!",5700,304,3033,364000,False,True
3612,"November 18, 2016",lidluk,"Our sprouts are picked late into the night so that we can get them into store as fresh as possible.
After all, it wouldn’t be Christmas without sprouts.",3100,683,311,1800000,False,True
3613,"November 17, 2016",lidluk,Award winning champagne for just £9.99. A little celebration in itself.,11000,903,819,1600000,False,True
3614,"November 12, 2016",lidluk,"Join Debbie as she finds out what free range is all about, setting a few facts straight about how our Norfolk Bronze Turkeys are looked after. www.lidl.co.uk/turkey",3900,1300,591,793000,False,True
3615,"November 9, 2016",lidluk,"Big wishes for your Lidl ones: a wooden dollhouse or a lightsaber set may be too big for their stockings, but will steal the show under the Christmas tree!",739,73,50,223000,False,True
3616,"November 4, 2016",lidluk,"Fresh coffee drops dripping, melted hot chocolate dipping, colourful presents tied up with strings, visit our stores for your Lidl Christmas things!",3000,225,224,888000,False,True
3617,"October 27, 2016",lidluk,It’s Italiamo Week in store now & we can’t wait to have a Lidl bit of everything!,455,53,31,0,False,False
3618,"October 27, 2016",lidluk,The world of the dead meets the world of the living at the Lidl Monster Market. Will you dare to step inside? http://www.lidl.co.uk/halloween,1100,166,462,461000,True,True
3619,"October 26, 2016",lidluk,Witches on the loose might put a spell on you. Charm them back with this beautiful boooooquet for £3.,957,69,46,0,False,False
3620,"October 24, 2016",lidluk,Music to our ears: get your Stylish Gadgets in store from Sunday 30th October!,155,16,17,0,False,False
3621,"October 20, 2016",lidluk,Enjoy a winter sleep all year round. King-size all-seasons duvet for just £19.99. In stores this Sunday.,1600,256,112,0,False,False
3622,"October 18, 2016",lidluk,"Soon, spooky little monsters will be knocking at your door. Trick or Treat? http://bit.ly/2enKgnp #LidlSurprises",518,46,40,241000,True,True
